original_filename,recovered_filename,status,jp,vocab_id,target_filename,target_path
001_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüäπüñ.wav,001_東北きりたん（ノーマル）_いつ.wav,matched,いつ,jpln1200_l1_001,jpln1200_l1_001.wav,audio/jpln1200_l1_001.wav
002_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σ«╢.wav,002_東北きりたん（ノーマル）_家.wav,matched,家,jpln1200_l1_002,jpln1200_l1_002.wav,audio/jpln1200_l1_002.wav
003_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Θë¢τ¡å.wav,003_東北きりたん（ノーマル）_鉛筆.wav,matched,鉛筆,jpln1200_l1_003,jpln1200_l1_003.wav,audio/jpln1200_l1_003.wav
004_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σ¡ªµáí.wav,004_東北きりたん（ノーマル）_学校.wav,matched,学校,jpln1200_l1_004,jpln1200_l1_004.wav,audio/jpln1200_l1_004.wav
005_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µòÖσ«ñ.wav,005_東北きりたん（ノーマル）_教室.wav,matched,教室,jpln1200_l1_005,jpln1200_l1_005.wav,audio/jpln1200_l1_005.wav
006_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_ΘèÇΦíî.wav,006_東北きりたん（ノーマル）_銀行.wav,matched,銀行,jpln1200_l1_006,jpln1200_l1_006.wav,audio/jpln1200_l1_006.wav
007_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Φ╗è.wav,007_東北きりたん（ノーマル）_車.wav,matched,車,jpln1200_l1_007,jpln1200_l1_007.wav,audio/jpln1200_l1_007.wav
008_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüùπéÖπéâπüéπéèπü╛πü¢πéô.wav,008_東北きりたん（ノーマル）_じゃありません.wav,matched,じゃありません,jpln1200_l1_008,jpln1200_l1_008.wav,audio/jpln1200_l1_008.wav
009_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüùπéÖπéâπüéπéèπü╛πü¢πéôπüªπéÖπüùπüƒ.wav,009_東北きりたん（ノーマル）_じゃありませんでした.wav,matched,じゃありませんでした,jpln1200_l1_009,jpln1200_l1_009.wav,audio/jpln1200_l1_009.wav
010_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σñºσ¡ª.wav,010_東北きりたん（ノーマル）_大学.wav,matched,大学,jpln1200_l1_010,jpln1200_l1_010.wav,audio/jpln1200_l1_010.wav
011_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüªπéÖπüùπüƒ.wav,011_東北きりたん（ノーマル）_でした.wav,matched,でした,jpln1200_l1_011,jpln1200_l1_011.wav,audio/jpln1200_l1_011.wav
012_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πü¿πéÖπüô.wav,012_東北きりたん（ノーマル）_どこ.wav,matched,どこ,jpln1200_l1_012,jpln1200_l1_012.wav,audio/jpln1200_l1_012.wav
013_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σ¢│µ¢╕Θñ¿.wav,013_東北きりたん（ノーマル）_図書館.wav,matched,図書館,jpln1200_l1_013,jpln1200_l1_013.wav,audio/jpln1200_l1_013.wav
014_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╜òµÖé.wav,014_東北きりたん（ノーマル）_何時.wav,matched,何時,jpln1200_l1_014,jpln1200_l1_014.wav,audio/jpln1200_l1_014.wav
